report,sym,cohort,key,full_role,n_windows,agree_frac,window_roles,counterparty_set_stability,spec_set_stability,stable_enough
disagg,NG,MM,managed_money,SPEC,70,1.0,SPEC:70,0.529,1.0,False
disagg,NG,Other,other_reportable,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.529,1.0,False
disagg,NG,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.529,1.0,False
disagg,OJ,Prod,producer_merchant,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.971,0.9,True
disagg,OJ,Swap,swap,inert,70,0.329,NEUTRAL:40 inert:23 SPEC:7,0.971,0.9,True
disagg,OJ,MM,managed_money,SPEC,70,1.0,SPEC:70,0.971,0.9,True
disagg,OJ,Other,other_reportable,COUNTERPARTY,70,0.971,COUNTERPARTY:68 NEUTRAL:2,0.971,0.9,True
disagg,OJ,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.971,0.9,True
disagg,PA,Prod,producer_merchant,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.829,0.457,True
disagg,PA,Swap,swap,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.829,0.457,True
